# Constructed from biom file														
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;__;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,00
"k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus"	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00	0,00	0,00	5,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,00
"k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_coprosmae"	0,00	0,00	0,00	4,00	3,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_circinelloides"	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_muriae"	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Nakaseomyces;s__Nakaseomyces_sp"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Sporocadaceae;g__Pestalotiopsis;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;__;__;__"	0,00	0,00	0,00	3,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;__"	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;__"	0,00	0,00	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Basidiomycota;__;__;__;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Strelitziana;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp"	0,00	0,00	0,00	0,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Theaceae;__;__"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Kodamaea;s__Kodamaea_ohmeri"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	0,00	0,00	0,00	0,00
"k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_sp"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	0,00	0,00	0,00
